amount,txn_count,distance,ip_risk,failed_logins,fraud
15895,29,5391,72,4,0
76920,7,6266,83,2,1
87598,24,8323,22,4,0
869,24,6950,2,3,0
83204,12,3386,22,4,0
93116,17,8667,59,1,0
18531,28,2748,80,2,0
67535,23,1268,64,0,0
11494,5,3891,7,4,0
80138,18,8793,60,1,0
43101,9,7514,53,1,0
23583,7,776,47,2,0
80177,17,1586,4,1,0
66657,6,3844,54,4,0
45858,18,6874,44,1,0
37165,4,7630,87,3,0
1116,8,7893,80,4,0
74165,15,9269,24,1,0
63804,28,6332,41,4,0
51314,13,65,89,0,0
62692,12,2696,88,2,1
87638,17,392,35,2,0
12766,5,3562,41,3,0
22762,9,3105,48,4,0
96454,12,8155,35,0,0
98118,5,8111,78,2,1
53092,5,7386,14,2,0
306,15,5978,42,3,0
50736,19,864,52,4,0
88039,5,7575,15,2,0
33927,13,9915,86,3,0
43685,10,9790,57,4,0
2793,28,3628,84,2,0
18147,26,5593,62,0,0
30180,25,1307,62,0,0
92887,13,5865,3,2,0
94956,5,664,79,2,0
93657,24,3305,52,0,0
51105,17,6586,52,3,0
52833,7,7555,56,0,0
26836,2,4738,92,4,0
38723,1,6529,19,1,0
87192,12,5792,70,3,1
52762,11,4219,17,4,0
52183,2,198,86,2,0
80723,16,8801,73,3,1
86302,6,2512,93,2,1
49911,28,7099,36,2,0
34854,19,2912,71,3,0
8780,1,1960,39,1,0
11211,1,1803,92,0,0
39484,18,5535,94,1,0
30406,7,6288,90,0,0
16471,28,2050,1,3,0
21032,5,7159,9,0,0
42742,16,2256,3,3,0
6395,22,9889,24,3,0
12974,17,5540,38,3,0
48454,16,2558,89,2,0
2300,29,2962,82,1,0
2969,3,957,41,3,0
90372,4,6945,14,4,0
86931,20,9720,8,2,0
86516,1,4556,59,2,0
45625,23,1046,30,4,0
74390,22,5896,27,2,0
49477,21,4894,97,3,0
39890,1,7997,48,2,0
56935,3,7680,17,3,0
18689,29,1070,6,2,0
32735,9,1061,24,4,0
96852,14,607,99,3,0
54340,20,191,85,0,0
85414,18,1817,95,1,0
51985,24,7456,47,1,0
57058,27,1410,90,0,0
27851,1,7561,43,4,0
5901,23,538,99,1,0
29692,24,8717,60,1,0
90012,4,4781,20,0,0
77675,14,4496,14,3,0
88022,23,9359,92,1,1
78757,23,854,51,0,0
53021,29,6294,58,1,0
56761,17,9908,42,2,0
68127,5,3125,60,3,0
48847,5,5223,68,4,0
58435,20,4143,99,3,1
94576,18,636,30,2,0
86772,24,831,19,3,0
26045,5,8309,62,0,0
74840,1,1082,1,1,0
46275,22,560,89,4,0
3443,29,4071,64,4,0
59738,3,3148,26,2,0
13384,22,2745,29,3,0
54440,15,2142,62,3,1
29224,12,6618,48,4,0
94858,4,7422,94,4,1
26746,26,6666,69,3,0
68485,20,7391,10,1,0
9923,1,9208,69,4,0
4711,16,2840,80,1,0
94804,28,9088,32,2,0
66487,24,6834,35,3,0
91780,1,5053,51,2,0
97956,1,3914,43,3,0
20864,13,4108,95,1,0
97632,19,8946,35,0,0
94397,8,6749,26,1,0
75453,2,8307,7,3,0
82845,21,5746,75,4,1
7643,4,729,21,4,0
93020,4,5989,73,2,1
83142,16,1572,82,0,0
65610,24,6807,62,4,1
44911,17,3767,13,0,0
68550,9,5918,17,0,0
14497,20,729,86,4,0
66334,19,396,61,0,0
24566,12,4361,71,3,0
82737,20,4947,16,4,0
89212,20,5589,53,0,0
1162,13,7861,42,1,0
11274,14,4730,5,2,0
38202,29,4331,75,1,0
72367,9,7242,58,3,0
72692,29,1543,46,4,0
50443,10,6939,66,4,1
88192,5,5542,83,4,1
26532,22,8692,17,0,0
1424,4,3142,31,2,0
72224,12,5302,39,2,0
25389,26,4269,13,1,0
9535,26,6620,72,4,0
25570,9,3073,3,4,0
80319,25,1215,25,0,0
67741,12,6317,61,4,1
20659,22,5349,36,2,0
30454,20,6191,49,0,0
68966,16,8663,57,2,0
78959,10,5064,76,3,1
29803,26,6820,90,1,0
32021,28,4965,41,3,0
20259,27,7103,17,0,0
78852,21,7892,77,3,1
97107,29,1582,35,4,0
45545,18,7027,69,0,0
65645,24,8990,5,0,0
61913,1,2194,96,0,1
62392,26,4159,89,2,1
72574,17,4001,98,0,1
8802,1,405,55,3,0
18484,5,9861,3,4,0
23674,5,3637,37,1,0
32301,19,7246,73,0,0
45206,13,717,4,0,0
37844,8,3420,95,1,0
58117,22,771,50,3,0
43044,22,8428,5,2,0
42908,17,4720,47,4,0
39864,14,4674,75,2,0
59594,6,6882,38,1,0
55493,18,6942,79,2,1
61986,2,1332,38,0,0
97339,15,5116,30,1,0
43188,5,4893,4,1,0
55579,17,5450,17,3,0
55223,24,4165,34,4,0
5669,13,6270,43,2,0
6354,25,7831,55,2,0
11737,16,7688,4,3,0
41340,3,1888,67,2,0
69824,18,6778,51,2,0
57208,5,5586,92,1,1
36768,22,6982,1,4,0
17007,26,2594,49,1,0
81918,9,6938,47,0,0
43321,15,6494,63,4,0
4532,26,1277,52,1,0
28799,23,2126,88,1,0
16848,26,4622,59,2,0
5226,3,1647,23,2,0
38738,28,8173,18,1,0
88969,3,1907,15,0,0
38618,5,8906,39,0,0
50548,7,6230,90,3,1
4732,17,3597,84,0,0
7661,3,233,18,3,0
26169,2,7944,40,0,0
23375,19,2473,6,3,0
54653,2,877,70,4,0
28124,1,1461,22,4,0
1705,23,6768,4,2,0
